sex,shield.l,femur1,femur2,femur3,femur4,left.tusk,right.tusk,morph,Id,foto,betweeneyes,spineCoxa,Notes
male,0.961,0.961,1.897,1.484,1.873,0.41,0.408,major,22000,6489,0.255,0.157,
male,1.011,1.048,2.049,1.588,2.006,0.449,0.445,major,23000,6490,0.256,0.151,
female,0.785,0.854,1.701,1.298,1.714,,,female,26000,6494,0.21,0.139,
female,0.755,0.86,1.721,1.309,1.686,,,female,12,6174,0.202,0.14,
female,0.774,0.837,1.615,1.246,1.608,,,female,67000,6664,0.206,0.14,
female,0.787,0.824,1.67,1.275,1.683,,,female,41,6208,0.213,0.141,
male,0.727,0.851,1.713,1.327,1.773,0.029,0.032,minor,28000,6496,,,muito torta
male,0.924,0.99,1.941,1.501,1.902,0.349,0.337,major,29000,6497,0.249,0.149,
male,0.889,1,1.982,1.519,1.963,0.268,0.253,major,30000,6498,0.242,0.142,
male,0.868,0.931,1.816,1.412,1.798,0.226,0.229,minor,31000,6499,0.237,0.143,
female,0.844,0.845,1.709,1.301,1.711,,,female,70,6241,0.215,0.141,
male,0.887,0.956,1.908,1.474,1.926,0.224,0.216,minor,33000,6504,0.234,0.128,
male,0.949,1.011,1.928,1.529,1.932,0.451,0.462,major,34000,6505,0.26,0.138,
male,0.829,0.947,1.937,1.484,1.953,0.164,0.161,minor,35000,6507,0.23,0.14,
male,0.931,0.978,1.868,1.501,1.937,0.388,0.376,major,36000,6508,0.251,0.155,
male,0.95,1.016,2.029,1.578,2.048,0.394,0.393,major,37000,6509,0.26,0.168,
male,0.993,1.033,1.956,1.533,2.005,0.377,0.366,major,38000,6510,0.268,0.148,
male,0.767,0.883,1.761,1.329,1.741,0.057,0.063,minor,39000,6511,0.202,0.139,
male,0.955,0.986,1.992,1.536,1.994,0.34,0.343,major,40000,6512,0.237,0.145,
male,0.934,1.004,1.96,1.513,1.932,0.362,0.376,major,41000,6514,0.254,0.142,
male,0.785,0.865,1.738,1.35,1.767,0.074,0.074,minor,42000,6515,0.21,0.123,
male,0.825,0.862,1.721,1.326,1.726,0.044,0.047,minor,43000,6516,0.185,0.107,
male,0.927,1.012,1.943,1.532,1.961,0.387,0.382,major,44000,6517,0.269,0.153,
male,0.908,0.947,1.901,1.469,1.92,0.245,0.236,minor,45000,6518,0.238,0.134,
male,0.826,0.884,1.805,1.365,1.82,0.117,0.121,minor,46000,6519,0.218,0.125,
female,0.802,0.868,1.752,1.349,1.777,,,female,102,6280,0.191,0.141,
female,0.758,0.86,1.702,1.305,1.697,,,female,98000,6696,0.205,0.141,
male,0.755,0.865,1.7,1.318,1.722,0.027,0.031,minor,49000,6522,0.199,0.107,
male,0.843,0.951,1.916,1.476,1.896,0.182,0.182,minor,50000,6523,0.225,0.125,
male,0.738,0.843,1.677,1.318,1.708,0.04,0.044,minor,51000,6524,,0.106,
female,0.769,0.872,1.699,1.314,1.709,,,female,3,6163,0.209,0.142,
male,0.931,1.002,1.999,1.551,2.019,0.295,0.308,major,53000,6526,0.239,0.15,
female,0.785,0.877,1.77,1.362,1.755,,,female,21,6187,0.222,0.142,
female,0.8,0.877,1.72,1.334,1.747,,,female,94,6272,0.203,0.142,
female,0.747,0.861,1.676,1.273,1.686,,,female,92000,6691,0.19,0.142,
male,0.771,0.864,1.765,1.338,1.761,0.056,0.064,minor,57000,6532,0.215,0.132,
male,0.8,0.931,1.873,1.436,1.838,0.11,0.111,minor,58000,6533,0.229,0.126,
female,0.819,0.849,1.711,1.298,1.726,,,female,43,6211,0.209,0.143,
male,0.796,0.919,1.879,1.445,1.881,0.104,0.1,minor,60000,6536,0.208,0.133,
female,0.721,0.812,1.6,1.237,1.637,,,female,64000,6661,0.197,0.143,
female,0.766,0.902,1.799,1.392,1.809,,,female,69,6240,0.215,0.144,
female,0.845,0.85,1.717,1.323,1.727,,,female,121,6302, ,0.144,
female,0.744,0.852,1.682,1.302,1.729,,,female,47000,6520,0.189,0.144,
male,0.859,0.962,1.903,1.424,1.868,0.237,0.22,minor,65000,6662,0.24,0.145,
male,0.741,0.889,1.774,1.337,1.779,0.02,0.023,minor,66000,6663,0.203,0.122,
female,0.761,0.84,1.658,1.274,1.708,,,female,52000,6525,0.208,0.144,
male,0.763,0.894,1.819,1.358,1.8,0.056,0.054,minor,68000,6665,0.207,0.126,
male,0.955,0.953,1.767,1.37,1.775,0.382,0.389,major,69000,6666,0.268,0.127,
female,0.724,0.84,1.667,1.29,1.676,,,female,63000,6540,0.206,0.144,
female,0.76,0.861,1.732,1.325,1.718,,,female,103000,6709,0.203,0.144,
female,0.808,0.888,1.796,1.412,1.801,,,female,87,6264,,0.145,
female,0.778,0.847,1.643,1.25,1.652,,,female,100000,6703,0.219,0.145,
male,0.877,0.933,1.816,1.42,1.826,0.132,0.133,minor,74000,6671,0.234,0.133,
female,0.806,0.899,1.797,1.368,1.82,,,female,102000,6708,0.211,0.145,
female,0.794,0.859,1.725,1.32,1.76,,,female,98,6276,0.212,0.146,
female,0.794,0.906,1.872,1.396,1.845,,,female,70000,6667,0.216,0.146,
male,0.97,0.978,1.925,1.497,1.934,0.287,0.28,major,78000,6676,0.249,0.131,
female,0.775,0.819,1.64,1.272,1.646,,,female,62000,6539,0.194,0.147,
male,0.882,0.944,1.83,1.406,1.87,0.167,0.17,minor,80000,6678,0.229,0.121,
female,0.792,0.86,1.709,1.268,1.67,,,female,79000,6677,0.207,0.147,
female,0.86,0.868,1.69,1.302,1.712,,,female,30,6196,0.223,0.148,
female,0.861,0.865,1.711,1.355,1.774,,,female,44,6212,0.212,0.148,
male,0.978,0.982,1.931,1.496,1.941,0.327,0.331,major,84000,6683,0.255,0.141,
female,0.826,0.847,1.731,1.331,1.727,,,female,54,6224,0.208,0.148,
female,0.829,0.852,1.707,1.318,1.708,,,female,110,6290,0.211,0.148,
male,1.005,1.004,1.993,1.55,1.996,0.373,0.36,major,87000,6686,0.253,0.154,
male,0.853,0.924,1.814,1.377,1.829,0.129,0.121,minor,88000,6687,0.237,0.133,
male,0.785,0.876,1.679,1.323,1.732,0.054,0.054,minor,89000,6688,0.211,0.114,
female,0.745,0.809,1.589,1.233,1.629,,,female,54000,6527,0.192,0.148,
male,0.744,0.843,1.705,1.305,1.706,0.033,0.034,minor,91000,6690,0.197,0.122,
female,0.828,0.91,1.817,1.39,1.854,,,female,100,6278,0.218,0.149,
male,0.767,0.858,1.668,1.297,1.685,0.047,0.046,minor,94000,6692,0.195,0.085,
female,0.738,0.853,1.69,1.326,1.692,,,female,72000,6669,0.212,0.149,
female,0.793, ,1.637,1.289,1.676,,,female,106000,6712,0.203,0.152,
male,0.919,0.913,1.81,1.369,1.795,0.149,0.153,minor,97000,6695,0.216,0.132,
female,0.818,0.861,1.74,1.306,1.738,,,female,66,6237,0.213,0.153,
male,0.872,0.908,1.822,1.376,1.817,0.184,0.18,minor,99000,6701,0.214,0.109,
female,0.723,0.834,1.716,1.309,1.73,,,female,75000,6672,0.213,0.155,
female,0.804,0.828,1.583,1.244,1.632,,,female,13,6175,0.211,0.156,
female,0.775,0.886,1.732,1.338,1.746,,,female,101,6279,0.209,0.157,
female,0.837,0.91,1.874,1.447,1.893,,,female,1000,6467,0.214,0.159,
male,1.036,1.029,2.077,1.628,2.062,0.497,0.502,major,104000,6710,,0.174,
male,0.885,0.908,1.814,1.385,1.797,0.207,0.209,minor,105000,6711,0.233,0.136,
female,0.805,0.898,1.776,1.355,1.818,,,female,85000,6684,0.213,0.163,
male,0.863,0.953,1.901,1.463,1.875,0.234,0.214,minor,107000,6713,0.229,0.128,
female,0.724,0.869,1.666,1.289,1.704,,,female,83000,6682,0.203,0.164,
female,0.776,0.884,1.713,1.301,1.719,,,female,59000,6535,0.199,0.166,
male,0.763,0.868,1.701,1.352,1.793,0.015,0.015,minor,110000,6716,0.195,0.088,
